libtiff-bug-2010-06-30-1563270-1136bdf,0
libtiff-bug-2010-11-27-eb326f9-eec7ec0,1
libtiff-bug-2006-03-03-a72cf60-0a36d7f,1
libtiff-bug-2006-03-03-eec4c06-ee65c74,1
valgrind-bug-11821-11822,1
php-bug-2011-04-06-18d71a6f59-187eb235fe,0
php-bug-2012-02-12-3d898cfa3f-af92365239,0
python-bug-70019-70023,1
php-bug-2011-02-21-b21f62eb2d-2a6968e43a,0
php-bug-2011-05-21-f5a9e17f9c-964f44a280,0
php-bug-2011-12-18-beda5efd41-622412d8e6,0
php-bug-2012-03-22-3efc9f2f78-2e19cccad7,1
valgrind-bug-12410-12411,0
fbc-bug-5251-5252,1
php-bug-2011-01-09-7c6310852e-478e5d1dd0,1
php-bug-2011-03-20-2034e14341-7f2937223d,1
php-bug-2011-04-02-70075bc84c-5a8c917c37,1
php-bug-2011-04-08-efcb9a71cd-6f3148db81,1
php-bug-2011-04-12-465ffa7fa2-c4a8866abb,1
php-bug-2011-05-21-f5a9e17f9c-964f44a280,1
php-bug-2011-11-08-c3e56a152c-3598185a74,1
php-bug-2011-11-15-236120d80e-fb37f3b20d,1
php-bug-2012-01-01-7c3177e5ab-e2a2ed348f,
php-bug-2012-01-30-9de5b6dc7c-4dc8b1ad11,
php-bug-2012-03-22-3efc9f2f78-2e19cccad7,
python-bug-70019-70023,
libtiff-bug-2009-02-05-764dbba-2e42d63,
libtiff-bug-2009-09-03-6406250-6b6496b,
libtiff-bug-2010-12-13-96a5fb4-bdba15c,
php-bug-2011-10-15-0a1cc5f01c-05c5c8958e,
php-bug-2011-10-30-c1a4a36c14-5921e73a37,
php-bug-2011-11-01-d2881adcbc-4591498df7,
php-bug-2011-11-04-9da01ac6b6-7334dfd7eb,
php-bug-2011-11-16-55acfdf7bd-3c7a573a2c,
php-bug-2011-11-19-51a4ae6576-bc810a443d,
php-bug-2011-12-04-b3ad0b7af7-1d6c98a136,
php-bug-2011-12-17-db63456a8d-3dc9f0abe6,
php-bug-2012-01-13-583292ab22-d74a258f24,
php-bug-2012-01-16-f32760bd40-032d140fd6,
wireshark-bug-37112-37111,
wireshark-bug-37122-37123,
libtiff-bug-2010-06-30-1563270-1136bdf,
libtiff-bug-2010-11-27-eb326f9-eec7ec0,
valgrind-bug-11620-11619,
valgrind-bug-11621-11622,
valgrind-bug-11623-11624,
valgrind-bug-11625-11627,
valgrind-bug-12410-12411,
valgrind-bug-12641-12642,
wireshark-bug-37172-37171,
wireshark-bug-37172-37173,
wireshark-bug-37284-37285,
gzip-bug-2009-09-26-a1d3d4019d-f17cbd13a1,
libtiff-bug-2005-12-14-6746b87-0d3d51d,
libtiff-bug-2007-07-19-ce4b7af-7d6e298,
libtiff-bug-2007-08-24-827b6bc-22da1d6,
libtiff-bug-2009-02-05-764dbba-2e42d63,
libtiff-bug-2009-06-30-b44af47-e0b51f3,
lighttpd-bug-1794-1795,
php-bug-2011-02-01-fefe9fc5c7-0927309852,
php-bug-2011-02-04-793cfe1376-109b8e99e0,
php-bug-2011-02-05-c50b3d7add-426f31e790,
php-bug-2011-02-11-f912a2d087-b84967d3e2,
php-bug-2011-04-02-70075bc84c-5a8c917c37,
php-bug-2011-04-06-18d71a6f59-187eb235fe,
php-bug-2011-04-12-465ffa7fa2-c4a8866abb,
php-bug-2011-11-19-eeba0b5681-d3b20b4058,
php-bug-2011-11-19-eeba0b5681-f330c8ab4e,
php-bug-2012-01-01-7c3177e5ab-e2a2ed348f,
php-bug-2012-01-16-f32760bd40-032d140fd6,
php-bug-2012-01-30-9de5b6dc7c-4dc8b1ad11,
php-bug-2012-02-12-3d898cfa3f-af92365239,
php-bug-2012-03-22-3efc9f2f78-2e19cccad7,
valgrind-bug-11771-11770,
valgrind-bug-12410-12411,
valgrind-bug-12474-12473,
valgrind-bug-12474-12475,
php-bug-2011-05-13-db0c957f02-8ba00176f1,
php-bug-2011-10-15-0a1cc5f01c-05c5c8958e,
php-bug-2011-10-30-c1a4a36c14-5921e73a37,
php-bug-2011-11-01-d2881adcbc-4591498df7,
php-bug-2011-11-04-9da01ac6b6-7334dfd7eb,
php-bug-2011-11-16-55acfdf7bd-3c7a573a2c,
php-bug-2011-11-19-51a4ae6576-bc810a443d,
php-bug-2011-12-04-b3ad0b7af7-1d6c98a136,
php-bug-2011-12-17-db63456a8d-3dc9f0abe6,
php-bug-2012-01-13-583292ab22-d74a258f24,
php-bug-2012-01-16-f32760bd40-032d140fd6,
php-bug-2012-03-04-60dfd64bf2-34fe62619d,
